method,metric,scheme,n,clusters,early,interleaved,difference_m,percent_change,ci_low_m,ci_high_m,exploratory_not_multiplicity_adjusted
WCL_raw,mean,messages,1198,1198,712.7898212775569,712.7898212775569,0.0,0.0,0.0,0.0,True
WCL_bc,mean,messages,1198,1198,774.6337114579029,757.7658550671117,16.86785639079119,2.2259984767058816,6.9735517473036,28.470870772015264,True
ABS_mean,mean,messages,1198,1198,816.4428086878818,752.2345434220468,64.20826526583494,8.53567093233185,46.20419717071554,83.1334768446517,True
DIFF_median,mean,messages,1198,1198,1504.2508567408292,1500.4874268119113,3.763429928917958,0.25081382633869165,-43.08268528169523,49.19150525897515,True
MinMax,mean,messages,1198,1198,632.8846474398757,619.7145601486937,13.170087291181972,2.1251860353292296,5.567794460555566,21.70469372375485,True
WCL_raw,p90,messages,1198,1198,1483.5888894492016,1483.5888894492016,0.0,0.0,0.0,0.0,True
WCL_bc,p90,messages,1198,1198,1627.2381410256385,1590.9300280143987,36.30811301123981,2.28219421168101,-7.320190576860057,96.14394387355291,True
ABS_mean,p90,messages,1198,1198,1835.9932444995636,1637.0714167293286,198.92182777023504,12.151078183727426,147.65017494701647,281.73486887799004,True
DIFF_median,p90,messages,1198,1198,3480.9450726352816,3504.938659782328,-23.993587147046583,-0.6845651087239446,-226.1565661646757,145.6382288087288,True
MinMax,p90,messages,1198,1198,1356.2444981853944,1300.9375344190682,55.306963766326135,4.251315862834515,-0.7805987030674606,95.04557190018497,True
WCL_raw,mean,spatial500,1198,94,712.7898212775569,712.7898212775569,0.0,0.0,0.0,0.0,True
WCL_bc,mean,spatial500,1198,94,774.6337114579029,757.7658550671117,16.86785639079119,2.2259984767058816,4.088042073194822,37.93076362733658,True
ABS_mean,mean,spatial500,1198,94,816.4428086878818,752.2345434220468,64.20826526583494,8.53567093233185,33.147276519428075,115.7481535565233,True
DIFF_median,mean,spatial500,1198,94,1504.2508567408292,1500.4874268119113,3.763429928917958,0.25081382633869165,-42.480925270510674,60.558918304414,True
MinMax,mean,spatial500,1198,94,632.8846474398757,619.7145601486937,13.170087291181972,2.1251860353292296,0.38683066516274767,33.474634716428916,True
WCL_raw,p90,spatial500,1198,94,1483.5888894492016,1483.5888894492016,0.0,0.0,0.0,0.0,True
WCL_bc,p90,spatial500,1198,94,1627.2381410256385,1590.9300280143987,36.30811301123981,2.28219421168101,-8.506297087874504,111.56879583965713,True
ABS_mean,p90,spatial500,1198,94,1835.9932444995636,1637.0714167293286,198.92182777023504,12.151078183727426,107.86111885764086,326.8427586223968,True
DIFF_median,p90,spatial500,1198,94,3480.9450726352816,3504.938659782328,-23.993587147046583,-0.6845651087239446,-220.52153604267048,141.6199757595016,True
MinMax,p90,spatial500,1198,94,1356.2444981853944,1300.9375344190682,55.306963766326135,4.251315862834515,-10.099978771196936,145.62419349874597,True
WCL_raw,mean,spatial1000,1198,41,712.7898212775569,712.7898212775569,0.0,0.0,0.0,0.0,True
WCL_bc,mean,spatial1000,1198,41,774.6337114579029,757.7658550671117,16.86785639079119,2.2259984767058816,1.5092903477731112,47.67547917262743,True
ABS_mean,mean,spatial1000,1198,41,816.4428086878818,752.2345434220468,64.20826526583494,8.53567093233185,29.01734851229821,134.63509447334994,True
DIFF_median,mean,spatial1000,1198,41,1504.2508567408292,1500.4874268119113,3.763429928917958,0.25081382633869165,-48.82787752691148,78.60169464311976,True
MinMax,mean,spatial1000,1198,41,632.8846474398757,619.7145601486937,13.170087291181972,2.1251860353292296,-3.716374155438936,45.60173978293726,True
