map,method,n,early_median_m,interleaved_median_m,difference_m,percent_change,paired_difference_ci_low,paired_difference_ci_high,paired_ratio_ci_low,paired_ratio_ci_high
official,WCL_raw,1172,482.3780084924161,482.3780084924161,0.0,0.0,0.0,0.0,1.0,1.0
official,WCL_bc,1172,605.9792879714529,609.0526629088208,-3.07337493736793,-0.5046156308864291,-16.15401892806687,12.400152503444486,0.9735476749712008,1.0205352551829865
official,ABS_mean,1172,613.9779298410062,595.0667867535468,18.911143087459436,3.1779866577046345,2.2371018281432464,44.3824816659572,1.003666519331743,1.0754391876407086
official,DIFF_legacy,1172,1321.0165138201849,1312.5406459537417,8.475867866443195,0.6457604107402259,-75.26823709042402,89.25645138857107,0.9438411609963467,1.0706036128373093
official,DIFF_revised,1172,1251.4916741703025,1270.99307641998,-19.50140224967754,-1.5343437042637076,-84.45084288257122,82.48907435818055,0.935743169603563,1.0694023729610505
official,MinMax,1172,466.1171445143623,457.5614902868572,8.555654227505102,1.8698370402940423,-3.9330741632882535,22.713477190327453,0.991445190167077,1.0492474859690415
recovered,WCL_raw,1172,913.6361425096122,913.6361425096122,0.0,0.0,0.0,0.0,1.0,1.0
recovered,WCL_bc,1172,659.899231528912,641.9850276982215,17.91420383069044,2.7904395052514186,-4.6230726754847415,33.02212894961807,0.992896662077839,1.0516481967516327
recovered,ABS_mean,1172,773.8648751227898,725.3407166264528,48.52415849633701,6.689843460328837,21.060940418456852,85.57416421531279,1.0279755597217413,1.1227412654334392
recovered,DIFF_legacy,1172,1167.4412101523737,1091.47126514236,75.96994501001382,6.960324786938399,17.05647948279138,134.85567992700953,1.0146043935042957,1.128779477984675
recovered,DIFF_revised,1172,1151.8346549926075,1058.8166561227272,93.01799886988033,8.785090254482974,18.88298823915769,134.9203952570889,1.0169610232491666,1.130089088037117
recovered,MinMax,1172,505.06735644446474,481.9929516686616,23.074404775803146,4.787290912848308,0.9735902799835798,34.447727383987655,1.0020372859444697,1.0718612986924219
