experiment,method,n_shared,early_median_m,interleaved_median_m,difference_m,change_percent
legacy_position_time_recovered29,WCL_raw,1172,957.3810919587394,957.3810919587394,0.0,0.0
legacy_position_time_recovered29,WCL_bc,1172,655.0383196301002,664.3277219628048,-9.28940233270464,-1.3983162264038063
legacy_position_time_recovered29,ABS_mean,1172,775.0251821225081,726.0666956203435,48.95848650216465,6.7429737236928355
legacy_position_time_recovered29,DIFF_median,1172,1165.4073328889779,1076.0525283384004,89.35480455057746,8.303944482018522
legacy_position_time_recovered29,MinMax,1172,503.5814616961189,499.40896765413675,4.172494041982134,0.8354864073790047
timestamp_only_recovered29,WCL_raw,1174,918.3221401519311,918.3221401519311,0.0,0.0
timestamp_only_recovered29,WCL_bc,1174,661.1855607821601,642.5661495911675,18.61941119099265,2.897664497708008
timestamp_only_recovered29,ABS_mean,1174,773.8648751227898,725.3407166264528,48.52415849633701,6.689843460328837
timestamp_only_recovered29,DIFF_median,1174,1167.4412101523737,1094.8531891970772,72.58802095529654,6.62993190973209
timestamp_only_recovered29,MinMax,1174,505.902712941097,483.4417065062168,22.461006434880176,4.646063037714221
temporal_official_matched,WCL_raw,1198,498.4335259021162,498.4335259021162,0.0,0.0
temporal_official_matched,WCL_bc,1198,615.2264918436292,615.2570668957289,-0.03057505209972078,-0.004969475971072779
temporal_official_matched,ABS_mean,1198,606.2445832701458,595.0667867535468,11.17779651659896,1.8784104180272987
temporal_official_matched,DIFF_median,1198,1161.1902930512806,1159.1609147737138,2.0293782775668205,0.1750730422068303
temporal_official_matched,MinMax,1198,473.7517721326449,467.0981921418356,6.653579990809249,1.4244499556506307
temporal_official_no71,WCL_raw,1198,496.7240590752289,496.7240590752289,0.0,0.0
temporal_official_no71,WCL_bc,1198,615.2264918436292,615.2570668957289,-0.03057505209972078,-0.004969475971072779
temporal_official_no71,ABS_mean,1198,606.2445832701458,595.0667867535468,11.17779651659896,1.8784104180272987
temporal_official_no71,DIFF_median,1198,1165.4559408170555,1163.069434846662,2.3865059703935003,0.2051903264664645
temporal_official_no71,MinMax,1198,473.7517721326449,467.0981921418356,6.653579990809249,1.4244499556506307
