receivers_retained,method,draws,survivors_min,survivors_max,removal_min_m,removal_max_m,selection_min_m,selection_max_m
6,FP_k3,8,4,274,-100.15425013699593,512.6980525573032,-16.272390756659718,384.3547780223711
6,MinMax,8,4,274,-3.9192085653724007,1104.263135595786,144.31325078400374,836.5370429846873
10,FP_k3,8,177,722,-1.802914357423795,254.6438445134042,-180.21408735883685,108.24245513137392
10,MinMax,8,177,722,-249.4299924096954,582.4421233532797,133.15555552593202,349.8608151290021
16,FP_k3,8,690,1276,15.823779210583156,170.2859951201366,-159.99663499509148,115.53324647676548
16,MinMax,8,690,1276,-65.00383684806462,319.70775665839994,-140.22481869154723,247.9629673722779
23,FP_k3,8,972,1796,-7.983549942778126,41.64502535335771,-56.67894289088324,103.02579778776824
23,MinMax,8,972,1796,-43.92755027100907,133.6010152929847,-16.10389269378703,224.2826165365456
