method,n,early_worse_fraction,mean_early_m,mean_interleaved_m,p90_early_m,p90_interleaved_m,p95_early_m,p95_interleaved_m,no_new_nonmedian_inference
WCL_raw,1198,0.0,712.7898212775569,712.7898212775569,1483.5888894492016,1483.5888894492016,1843.9931693090261,1843.9931693090261,True
WCL_bc,1198,0.5968280467445742,774.6337114579029,757.7658550671117,1627.2381410256385,1590.9300280143987,2010.5017875498024,1936.3841435666627,True
ABS_mean,1198,0.6519198664440734,816.4428086878818,752.2345434220468,1835.9932444995636,1637.0714167293286,2231.5277551674812,1966.830276043786,True
DIFF_median,1198,0.5425709515859767,1504.2508567408292,1500.4874268119113,3480.9450726352816,3504.938659782328,4065.4735855398276,4084.3475418192897,True
MinMax,1198,0.5534223706176962,632.8846474398757,619.7145601486937,1356.2444981853944,1300.9375344190682,1836.5270197238365,1795.2071148713594,True
