direction,seed,method,n,citywide_median_m,opposite_median_m,median_change_pct,citywide_p90_m,opposite_p90_m,p90_change_pct
east,3101,FP_k3,1263,51.093670457404926,614.2914678405119,1102.2848668752933,805.5601537045297,1964.1323235772,143.82193117978144
east,3101,WCL_raw,1263,246.69723339514746,246.69723339514746,0.0,1348.7592834333218,1348.7592834333218,0.0
east,3101,WCL_bc,1263,171.73195858525747,185.9519347962904,8.280331935988094,1575.1039368979573,1698.4552889292422,7.831315073354195
east,3101,ABS_mean,1263,284.35010949517454,652.391516712206,129.4324830296143,1524.7161449449748,2109.6838672635677,38.365680343714324
east,3101,DIFF_median,1263,568.2129359357416,572.5542761046908,0.7640340256949152,3252.7386790018036,3309.21453542944,1.736255568030054
east,3101,MinMax,1263,238.57933595466332,343.02563337247557,43.77843412124341,1175.2530679162483,1279.8012790852217,8.89580414832185
west,3101,FP_k3,1218,304.3182346975055,1124.8792888897901,269.63913450928374,917.336704566481,2122.897913334486,131.41970693713105
west,3101,WCL_raw,1218,631.2496610290386,631.2496610290386,0.0,1630.8857770113273,1630.8857770113273,0.0
west,3101,WCL_bc,1218,785.1418858224035,839.9547535831048,6.98126908657879,1531.9210694267633,1601.6980695770535,4.5548691471682945
west,3101,ABS_mean,1218,622.3405767492051,860.9860148580548,38.34643714787387,1437.7930843306488,1726.3452560865976,20.069102772898752
west,3101,DIFF_median,1218,1417.9331383644799,1315.1854203759758,-7.246302044045516,3543.044314623721,3104.20559930229,-12.385922284690276
west,3101,MinMax,1218,567.8879244029922,687.94391985189,21.140790337302896,1333.5666865259102,1509.3507101819662,13.181494816280459
east,3102,FP_k3,1263,49.84363154876664,618.4536609542542,1140.7877229996047,839.7736258813771,1964.1323235772,133.88830787770476
east,3102,WCL_raw,1263,246.69723339514746,246.69723339514746,0.0,1348.7592834333218,1348.7592834333218,0.0
east,3102,WCL_bc,1263,165.24095063598918,184.16000703735713,11.449375187295384,1590.008025389191,1696.0791615769124,6.671106968894569
east,3102,ABS_mean,1263,284.4392053149555,651.9843324747136,129.21746379961255,1468.1081471458524,2093.7184971926404,42.61336954386068
east,3102,DIFF_median,1263,542.7552381496766,549.8163939941353,1.300983454076099,3393.7622501534474,3317.403762538526,-2.24996573084838
east,3102,MinMax,1263,240.26831316193017,344.258417007924,43.280823208638886,1184.3324967389817,1282.033935130606,8.249494011237712
west,3102,FP_k3,1218,309.50570447983193,1125.263958684161,263.5680836885789,894.4868165648649,2098.068230752683,134.5555229992078
west,3102,WCL_raw,1218,631.2496610290386,631.2496610290386,0.0,1630.8857770113273,1630.8857770113273,0.0
west,3102,WCL_bc,1218,779.2693756793049,841.134785038798,7.938899088080276,1553.2898806551827,1593.9311183872546,2.616461887650323
west,3102,ABS_mean,1218,614.0091526671658,864.7624032662145,40.83868286161749,1443.4176211055737,1712.7818851241566,18.66156128898202
west,3102,DIFF_median,1218,1469.2022483403157,1325.895262984353,-9.754067931617271,3559.4226265201214,3211.9311170538563,-9.762580787041609
west,3102,MinMax,1218,568.9487713470724,689.1836066227452,21.132805154143952,1335.2594639287877,1509.3751033275105,13.039835635121833
east,3103,FP_k3,1263,50.7562468204288,614.8582072263807,1111.394154894265,813.7843220389168,1951.9359995956038,139.85913057468048
east,3103,WCL_raw,1263,246.69723339514746,246.69723339514746,0.0,1348.7592834333218,1348.7592834333218,0.0
east,3103,WCL_bc,1263,170.41339045528815,183.8977887649671,7.912757485578514,1590.8996353648254,1695.9942817862243,6.605988466223933
east,3103,ABS_mean,1263,284.3108205843181,651.0072038701514,128.9772870874896,1517.75546396381,2116.6721391149886,39.46068318456468
east,3103,DIFF_median,1263,550.1091258158763,556.8706141628976,1.2291176477018606,3208.108325850194,3321.3227863187976,3.5290099014533727
east,3103,MinMax,1263,240.80141117371338,342.828101970398,42.36963990343183,1190.30385242344,1280.0328381806419,7.538326081572788
west,3103,FP_k3,1218,307.8685586670955,1128.9207886952888,266.689211000599,891.8120475755097,2104.472979117091,135.97718654265046
west,3103,WCL_raw,1218,631.2496610290386,631.2496610290386,0.0,1630.8857770113273,1630.8857770113273,0.0
west,3103,WCL_bc,1218,781.9210064012691,839.6171487138125,7.378768678703929,1554.0059144957104,1593.8554768549525,2.564312142413794
west,3103,ABS_mean,1218,620.577722023616,863.643294199197,39.16762776836051,1440.0164993556548,1736.455469607311,20.585803731019748
west,3103,DIFF_median,1218,1459.6688154590947,1319.3713334432223,-9.611596858822125,3506.251249908263,3142.3919693831554,-10.377444586568851
west,3103,MinMax,1218,571.1017497188691,689.2992479549196,20.696399248336128,1333.8516135506527,1516.3170253200776,13.679588487636218
